hotel_name,district_city,hotel_type,website,instagram,phone_whatsapp,email,email_status,source_links,contact_source,first_contact_channel,foreign_tourist_signal,integration_point,fit_score,status,qc_note
"Maxx Royal Belek Golf Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.maxxroyal.com/en/maxx-royal-belek-golf-resort/","","","","no_email_verified","https://www.maxxroyal.com/en/maxx-royal-belek-golf-resort/","official website","website form / phone-first","International luxury resort in Belek; strong foreign guest fit","QR at reception, pre-arrival guest message, concierge desk",96,"RAW_TO_QC","Official website found; email not copied unless QC confirms on official contact page."
"Regnum Carya","Belek / Serik, Antalya","luxury golf resort hotel","https://www.regnumhotels.com/en/regnum-carya/","","","","no_email_verified","https://www.regnumhotels.com/en/regnum-carya/","official website","website form / phone-first","High-end Belek resort with international guests and golf travel demand","Concierge, reception QR, guest app/message insert",96,"RAW_TO_QC","Strong fit; verify direct contact route before outreach."
"Rixos Premium Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.rixos.com/en/hotel-resort/rixos-premium-belek","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-premium-belek","official brand website","website form / phone-first","Large international resort brand; foreign tourist traffic likely very high","Reception QR, guest relations, pre-arrival email",95,"RAW_TO_QC","Brand/official source only; QC should verify local hotel contact."
"The Land of Legends Kingdom Hotel","Belek / Serik, Antalya","theme park resort hotel","https://www.thelandoflegendsthemepark.com/en/kingdom-hotel","","","","no_email_verified","https://www.thelandoflegendsthemepark.com/en/kingdom-hotel","official website","website form / phone-first","Theme park hotel with international family travelers","Guest app, concierge, reception QR, family arrival pack",94,"RAW_TO_QC","Hotel operation clear; email not verified."
"Titanic Deluxe Golf Belek","Belek / Serik, Antalya","luxury golf resort hotel","https://www.titanic.com.tr/titanic-deluxe-golf-belek","","","","no_email_verified","https://www.titanic.com.tr/titanic-deluxe-golf-belek","official brand website","website form / phone-first","Golf/resort traffic; foreign tourist fit strong","Reception QR, golf desk, pre-arrival message",94,"RAW_TO_QC","Verify official contact details on current site."
"Gloria Serenity Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.gloria.com.tr/gloria-serenity-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-serenity-resort/","official brand website","website form / phone-first","Premium resort with foreign guests and golf/leisure traffic","Concierge and guest relations QR",93,"RAW_TO_QC","Good candidate; no email copied."
"Gloria Golf Resort","Belek / Serik, Antalya","golf resort hotel","https://www.gloria.com.tr/gloria-golf-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-golf-resort/","official brand website","website form / phone-first","Golf resort with international traveler signal","Golf desk, reception QR, booking message",93,"RAW_TO_QC","Verify current hotel-specific contact route."
"Gloria Verde Resort","Belek / Serik, Antalya","resort hotel","https://www.gloria.com.tr/gloria-verde-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-verde-resort/","official brand website","website form / phone-first","International resort audience; family/leisure travelers","Guest relations, reception QR",92,"RAW_TO_QC","No guessed email."
"Calista Luxury Resort","Belek / Serik, Antalya","luxury resort hotel","https://calista.com.tr/","","","","no_email_verified","https://calista.com.tr/","official website","website form / phone-first","Luxury Belek resort; foreign tourist traffic likely high","Concierge QR, pre-arrival link, lobby display",93,"RAW_TO_QC","Official site only; contact data must be verified by QC."
"Kempinski Hotel The Dome Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.kempinski.com/en/hotel-the-dome","","","","no_email_verified","https://www.kempinski.com/en/hotel-the-dome","official brand website","website form / phone-first","International luxury brand; strong foreign guest signal","Concierge, reception, pre-arrival email insert",94,"RAW_TO_QC","Use official form/phone unless direct local email verified."
