hotel_name,district_city,hotel_type,website,instagram,phone_whatsapp,email,email_status,source_links,contact_source,first_contact_channel,foreign_tourist_signal,integration_point,fit_score,status,qc_note
"Maxx Royal Belek Golf Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.maxxroyal.com/en/maxx-royal-belek-golf-resort/","","","","no_email_verified","https://www.maxxroyal.com/en/maxx-royal-belek-golf-resort/","official website","website form / phone-first","International luxury resort in Belek; strong foreign guest fit","QR at reception, pre-arrival guest message, concierge desk",96,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; do not bulk email."
"Regnum Carya","Belek / Serik, Antalya","luxury golf resort hotel","https://www.regnumhotels.com/en/regnum-carya/","","","","no_email_verified","https://www.regnumhotels.com/en/regnum-carya/","official website","website form / phone-first","High-end Belek resort with international guests and golf travel demand","Concierge, reception QR, guest app/message insert",96,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; do not bulk email."
"Rixos Premium Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.rixos.com/en/hotel-resort/rixos-premium-belek","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-premium-belek","official brand website","website form / phone-first","Large international resort brand; foreign tourist traffic likely very high","Reception QR, guest relations, pre-arrival email",95,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"The Land of Legends Kingdom Hotel","Belek / Serik, Antalya","theme park resort hotel","https://www.thelandoflegendsthemepark.com/en/kingdom-hotel","","","","no_email_verified","https://www.thelandoflegendsthemepark.com/en/kingdom-hotel","official website","website form / phone-first","Theme park hotel with international family travelers","Guest app, concierge, reception QR, family arrival pack",94,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Titanic Deluxe Golf Belek","Belek / Serik, Antalya","luxury golf resort hotel","https://www.titanic.com.tr/titanic-deluxe-golf-belek","","","","no_email_verified","https://www.titanic.com.tr/titanic-deluxe-golf-belek","official brand website","website form / phone-first","Golf/resort traffic; foreign tourist fit strong","Reception QR, golf desk, pre-arrival message",94,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Gloria Serenity Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.gloria.com.tr/gloria-serenity-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-serenity-resort/","official brand website","website form / phone-first","Premium resort with foreign guests and golf/leisure traffic","Concierge and guest relations QR",93,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Gloria Golf Resort","Belek / Serik, Antalya","golf resort hotel","https://www.gloria.com.tr/gloria-golf-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-golf-resort/","official brand website","website form / phone-first","Golf resort with international traveler signal","Golf desk, reception QR, booking message",93,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Gloria Verde Resort","Belek / Serik, Antalya","resort hotel","https://www.gloria.com.tr/gloria-verde-resort/","","","","no_email_verified","https://www.gloria.com.tr/gloria-verde-resort/","official brand website","website form / phone-first","International resort audience; family/leisure travelers","Guest relations, reception QR",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Calista Luxury Resort","Belek / Serik, Antalya","luxury resort hotel","https://calista.com.tr/","","","","no_email_verified","https://calista.com.tr/","official website","website form / phone-first","Luxury Belek resort; foreign tourist traffic likely high","Concierge QR, pre-arrival link, lobby display",93,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Kempinski Hotel The Dome Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.kempinski.com/en/hotel-the-dome","","","","no_email_verified","https://www.kempinski.com/en/hotel-the-dome","official brand website","website form / phone-first","International luxury brand; strong foreign guest signal","Concierge, reception, pre-arrival email insert",94,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use official form/phone."
"Cornelia Diamond Golf Resort & Spa","Belek / Serik, Antalya","golf resort hotel","https://www.corneliaresort.com/EN/Cornelia-Diamond-Golf-Resort-Spa","","","","no_email_verified","https://www.corneliaresort.com/EN/Cornelia-Diamond-Golf-Resort-Spa","official brand website","website form / phone-first","Golf resort; international tourists likely","Golf/reception QR, guest relations",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Sueno Hotels Deluxe Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.sueno.com.tr/en/hotels/deluxe-belek","","","","no_email_verified","https://www.sueno.com.tr/en/hotels/deluxe-belek","official brand website","website form / phone-first","Large Belek resort; foreign guest fit","Reception QR and guest relations",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Selectum Luxury Resort Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.selectumhotels.com/en/selectum-luxury-resort/","","","","no_email_verified","https://www.selectumhotels.com/en/selectum-luxury-resort/","official brand website","website form / phone-first","International resort audience","Guest relations, reception QR",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Ela Excellence Resort Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.elahotels.com/en/ela-excellence-resort-belek/","","","","no_email_verified","https://www.elahotels.com/en/ela-excellence-resort-belek/","official brand website","website form / phone-first","Family luxury resort with foreign guests","Kids/family arrival pack, reception QR",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Kaya Palazzo Golf Resort Belek","Belek / Serik, Antalya","luxury golf resort hotel","https://www.kayahotels.com.tr/en/kaya-palazzo-golf-resort","","","","no_email_verified","https://www.kayahotels.com.tr/en/kaya-palazzo-golf-resort","official brand website","website form / phone-first","Golf and luxury resort audience","Golf desk, concierge QR",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Voyage Belek Golf & Spa","Belek / Serik, Antalya","golf resort hotel","https://www.voyagehotel.com/en/voyage-belek-golf-spa","","","","no_email_verified","https://www.voyagehotel.com/en/voyage-belek-golf-spa","official brand website","website form / phone-first","International Belek resort; high traveler fit","Reception QR, guest message",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Limak Arcadia Sport Resort Belek","Belek / Serik, Antalya","resort hotel","https://www.limakhotels.com/limak-arcadia-sport-resort-hotel","","","","no_email_verified","https://www.limakhotels.com/limak-arcadia-sport-resort-hotel","official brand website","website form / phone-first","Resort hotel with foreign tourist traffic","Reception QR, sports group arrival message",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"IC Hotels Santai Family Resort","Belek / Serik, Antalya","family resort hotel","https://www.ichotels.com.tr/santai-family-resort","","","","no_email_verified","https://www.ichotels.com.tr/santai-family-resort","official brand website","website form / phone-first","Family resort; foreign tourists likely","Reception QR, family check-in material",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
